state,district,lat,lon,elevation_meters,dist_to_coast_km,dist_to_major_river_km,avg_annual_rainfall_mm,seismic_zone,primary_hazard_type,risk_level
Andhra Pradesh,Ananthapuramu,18.436322,77.784988,12,3.45,22.14,1952,4,Cyclone,High
Andhra Pradesh,Ananthapuramu,18.452591,77.793885,50,13.38,21.3,2104,4,Low,Low
Andhra Pradesh,Annamayya,14.844195,84.568927,33,16.93,4.64,1558,4,Heatwave,Medium
Andhra Pradesh,Annamayya,14.875003,84.584067,73,0.03,8.58,1175,4,Flood,Low
Andhra Pradesh,Annamayya,14.874114,84.593902,40,13.07,20.98,2893,4,Low,Low
Andhra Pradesh,Annamayya,14.870115,84.578772,18,11.22,0.35,2255,4,Heatwave,Medium
Andhra Pradesh,Annamayya,14.875381,84.561904,0,30.7,32.97,1828,4,Flood,Medium
Andhra Pradesh,Annamayya,14.874962,84.593714,3,70.55,63.62,2954,4,Flood,Medium
Andhra Pradesh,Annamayya,14.85788,84.593211,7,3.07,86.7,2948,4,Cyclone,High
Andhra Pradesh,Annamayya,14.87076,84.582539,31,25.14,4.51,1764,4,Cyclone,Medium
Andhra Pradesh,Annamayya,14.867114,84.586426,0,6.23,16.06,2509,4,Flood,Medium
Andhra Pradesh,Annamayya,14.867771,84.598455,12,5.71,10.26,2245,4,Flood,Medium
Andhra Pradesh,Bapatla,17.252089,78.569946,12,1.65,35.75,1664,4,Flood,Medium
Andhra Pradesh,Bapatla,17.257803,78.598663,11,7.69,26.76,3782,4,Flood,Medium
Andhra Pradesh,Bapatla,17.237867,78.583206,17,4.7,37.58,1208,4,Flood,Medium
Andhra Pradesh,Bapatla,17.255416,78.57962,18,6.66,26.08,2656,4,Flood,Medium
Andhra Pradesh,Bapatla,17.260429,78.57918,16,26.46,8.45,1627,4,Cyclone,Medium
Andhra Pradesh,Bapatla,17.254133,78.583479,17,8.58,1.59,2006,4,Flood,High
Andhra Pradesh,Bapatla,17.249747,78.595448,114,6.62,20.97,2032,4,Flood,Medium
Andhra Pradesh,Bapatla,17.250407,78.599839,50,1.99,3.15,2403,4,Flood,Medium
Andhra Pradesh,Bapatla,17.257863,78.5792,1,9.35,10.54,2778,4,Cyclone,High
Andhra Pradesh,Bapatla,17.262174,78.591669,18,56.96,5.32,639,4,Flood,Medium
Andhra Pradesh,Chittoor,13.224158,84.885752,43,9.21,2.7,1734,4,Heatwave,Medium
Andhra Pradesh,Chittoor,13.230861,84.867669,7,47.2,14.9,3336,4,Flood,Medium
Andhra Pradesh,Chittoor,13.23626,84.874246,60,17.6,12.49,1307,4,Cyclone,High
Andhra Pradesh,Chittoor,13.22634,84.87973,18,27.05,70.95,2615,4,Low,Low
Andhra Pradesh,Chittoor,13.240773,84.863209,60,19.32,14.03,1040,4,Flood,Low
Andhra Pradesh,Chittoor,13.211939,84.856499,10,14.32,0.97,505,4,Flood,High
Andhra Pradesh,Chittoor,13.236345,84.869277,20,40.81,22.67,1531,4,Flood,Medium
Andhra Pradesh,Chittoor,13.229724,84.875132,16,2.79,19.03,2624,4,Flood,Medium
Andhra Pradesh,Chittoor,13.227628,84.879382,14,6.82,24.56,2269,4,Cyclone,High
Andhra Pradesh,Chittoor,13.22333,84.86344,34,9.98,10.26,1568,4,Flood,Medium
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.178574,81.064684,29,7.2,0.16,1502,4,Flood,High
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.174141,81.049059,24,8.58,5.1,2943,4,Flood,Medium
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.153771,81.058953,13,19.46,23.63,2001,4,Flood,Medium
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.188699,81.060975,14,4.59,9.16,2797,4,Low,Low
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.17872,81.060389,59,0.16,24.17,968,4,Cyclone,High
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.172389,81.076281,41,49.74,4.29,2050,4,Low,Low
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.184637,81.056406,35,3.46,33.65,1596,4,Flood,Medium
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.161423,81.062546,12,12.89,18.71,2725,4,Flood,Medium
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.174581,81.056258,37,4.02,85.14,1346,4,Flood,Medium
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,14.173904,81.057652,5,19.02,17.32,1499,4,Heatwave,Medium
Andhra Pradesh,East Godavari,16.747444,78.855053,49,4.46,7.58,2248,4,Cyclone,High
Andhra Pradesh,East Godavari,16.750379,78.849246,32,106.29,40.92,3047,4,Low,Low
Andhra Pradesh,East Godavari,16.740142,78.833893,4,9.71,10.08,1086,4,Cyclone,High
Andhra Pradesh,East Godavari,16.754168,78.84177,0,24.19,36.94,1464,4,Cyclone,Medium
Andhra Pradesh,East Godavari,16.755841,78.84677,43,18.78,15.61,3825,4,Cyclone,High
Andhra Pradesh,East Godavari,16.753827,78.847218,44,5.24,45.04,2093,4,Flood,Medium
Andhra Pradesh,East Godavari,16.757268,78.83276,30,25.36,21.06,2240,4,Flood,Medium
Andhra Pradesh,East Godavari,16.74475,78.840666,35,0.01,1.13,1740,4,Low,Low
Andhra Pradesh,East Godavari,16.75663,78.85114,30,8.64,43.68,3062,4,Cyclone,High
Andhra Pradesh,East Godavari,16.754159,78.844496,50,14.28,10.65,2271,4,Flood,Medium
Andhra Pradesh,Eluru,15.912468,79.550803,42,32.28,27.37,3243,4,Flood,Medium
Andhra Pradesh,Eluru,15.91161,79.553968,54,30.18,48.54,3738,4,Flood,Medium
Andhra Pradesh,Eluru,15.887709,79.553946,37,13.24,11.14,2032,4,Heatwave,Medium
Andhra Pradesh,Eluru,15.920545,79.558431,6,6.5,4.0,3144,4,Cyclone,High
Andhra Pradesh,Eluru,15.911783,79.55255,87,23.19,69.23,2464,4,Flood,Medium
Andhra Pradesh,Eluru,15.901149,79.557726,18,34.21,12.89,2014,4,Flood,Medium
Andhra Pradesh,Eluru,15.90121,79.561458,2,12.62,3.07,2189,4,Flood,High
Andhra Pradesh,Eluru,15.914349,79.573138,97,9.81,4.53,2061,4,Flood,Medium
Andhra Pradesh,Eluru,15.92241,79.560662,43,29.84,7.91,2251,4,Flood,Medium
Andhra Pradesh,Eluru,15.899588,79.564344,46,24.58,3.5,2289,4,Cyclone,Medium
Andhra Pradesh,Guntur,16.665007,81.950658,39,51.13,14.2,3227,4,Flood,Medium
Andhra Pradesh,Guntur,16.649454,81.964533,8,12.25,4.63,1222,4,Flood,High
Andhra Pradesh,Guntur,16.649408,81.955956,64,18.26,9.88,2165,4,Cyclone,High
Andhra Pradesh,Guntur,16.649911,81.961137,16,0.03,41.36,2269,4,Cyclone,High
Andhra Pradesh,Guntur,16.656097,81.948815,43,33.43,2.37,1863,4,Flood,High
Andhra Pradesh,Guntur,16.641841,81.950566,9,10.7,11.41,1812,4,Flood,Medium
Andhra Pradesh,Guntur,16.660096,81.953352,60,1.35,1.29,2059,4,Flood,Medium
Andhra Pradesh,Guntur,16.649981,81.950875,72,0.57,7.39,2709,4,Flood,Medium
Andhra Pradesh,Guntur,16.675617,81.97073,68,26.32,13.56,1911,4,Flood,Low
Andhra Pradesh,Guntur,16.653386,81.981986,8,8.06,22.27,2317,4,Low,Low
Andhra Pradesh,Kakinada,18.135646,83.032744,118,20.64,3.38,1828,4,Flood,Medium
Andhra Pradesh,Kakinada,18.139536,83.028356,0,3.5,44.96,2366,4,Flood,Medium
Andhra Pradesh,Kakinada,18.135075,83.03702,79,7.63,14.88,2255,4,Heatwave,Medium
Andhra Pradesh,Kakinada,18.133575,83.032802,23,10.97,31.9,2151,4,Flood,Medium
Andhra Pradesh,Kakinada,18.135792,83.027071,24,6.7,55.88,2400,4,Flood,Medium
Andhra Pradesh,Kakinada,18.11413,83.023514,83,19.77,10.96,1387,4,Flood,Low
Andhra Pradesh,Kakinada,18.117241,83.036377,22,0.4,64.08,2151,4,Flood,Medium
Andhra Pradesh,Kakinada,18.130483,83.012044,11,57.36,0.73,3420,4,Flood,High
Andhra Pradesh,Kakinada,18.142572,83.028443,103,2.99,62.23,2088,4,Flood,Medium
Andhra Pradesh,Kakinada,18.119292,83.03235,24,4.32,2.37,1103,4,Cyclone,High
Andhra Pradesh,Krishna,12.236441,82.491004,117,10.25,10.68,2421,4,Cyclone,High
Andhra Pradesh,Krishna,12.237165,82.47636,53,6.47,24.57,2411,4,Flood,Medium
Andhra Pradesh,Krishna,12.240451,82.48715,67,6.71,14.26,2748,4,Cyclone,High
Andhra Pradesh,Krishna,12.231837,82.49814,15,2.24,41.81,1655,4,Flood,Medium
Andhra Pradesh,Krishna,12.230551,82.486025,16,5.98,3.45,1931,4,Low,Low
Andhra Pradesh,Krishna,12.232823,82.491374,38,20.34,20.15,3056,4,Flood,Medium
Andhra Pradesh,Krishna,12.222506,82.493367,26,17.21,93.88,2559,4,Flood,Medium
Andhra Pradesh,Krishna,12.242355,82.495228,15,4.87,26.24,1645,4,Flood,Medium
Andhra Pradesh,Krishna,12.225502,82.490837,89,3.54,53.2,1974,4,Flood,Low
Andhra Pradesh,Krishna,12.237591,82.485737,36,24.23,2.71,3348,4,Cyclone,Medium
Andhra Pradesh,Kurnool,16.846807,81.336791,46,10.79,1.63,2716,4,Flood,High
Andhra Pradesh,Kurnool,16.848565,81.337956,56,30.93,26.28,1228,4,Cyclone,Medium
Andhra Pradesh,Kurnool,16.846268,81.337465,15,0.52,2.84,3022,4,Cyclone,High
Andhra Pradesh,Kurnool,16.846982,81.352948,29,16.76,15.81,1490,4,Cyclone,High
Andhra Pradesh,Kurnool,16.835966,81.337574,58,4.11,0.68,1532,4,Cyclone,High
Andhra Pradesh,Kurnool,16.840389,81.333194,34,0.77,67.41,1307,4,Flood,Medium
Andhra Pradesh,Kurnool,16.843626,81.337207,55,19.63,41.0,1667,4,Cyclone,High
Andhra Pradesh,Kurnool,16.832533,81.360461,10,31.31,13.59,1421,4,Flood,Medium
Andhra Pradesh,Kurnool,16.842627,81.329029,19,4.39,5.91,2618,4,Flood,Medium
Andhra Pradesh,Kurnool,16.836047,81.349647,3,6.65,20.31,1663,4,Flood,Medium
Andhra Pradesh,Nandyal,17.497913,77.525919,38,57.95,13.28,1986,4,Cyclone,Medium
Andhra Pradesh,Nandyal,17.485282,77.522308,60,20.83,14.42,2166,4,Flood,Medium
Andhra Pradesh,Nandyal,17.498605,77.539237,17,6.16,26.83,1651,4,Heatwave,Medium
Andhra Pradesh,Nandyal,17.496641,77.525179,25,3.47,24.35,2417,4,Flood,Medium
Andhra Pradesh,Nandyal,17.50482,77.55405,107,7.6,24.21,3521,4,Flood,Medium
Andhra Pradesh,Nandyal,17.500565,77.536178,24,2.44,23.29,2655,4,Flood,Medium
Andhra Pradesh,Nandyal,17.49271,77.525483,66,3.64,16.24,3445,4,Flood,Medium
Andhra Pradesh,Nandyal,17.503958,77.538741,73,4.99,4.65,2294,4,Heatwave,Medium
Andhra Pradesh,Nandyal,17.488262,77.514635,81,39.61,43.07,3196,4,Low,Low
Andhra Pradesh,Nandyal,17.50051,77.532295,77,6.03,12.68,2532,4,Flood,Medium
Andhra Pradesh,NTR,13.427635,77.13289,108,13.25,3.47,3166,4,Cyclone,High
Andhra Pradesh,NTR,13.443052,77.126093,31,4.9,13.91,2361,4,Low,Low
Andhra Pradesh,NTR,13.437668,77.12294,31,9.5,8.93,2547,4,Flood,Medium
Andhra Pradesh,NTR,13.436983,77.126667,18,16.59,57.2,2009,4,Flood,Medium
Andhra Pradesh,NTR,13.419962,77.126697,42,0.42,13.88,2070,4,Cyclone,High
Andhra Pradesh,NTR,13.447051,77.115995,32,32.57,12.69,2030,4,Flood,Medium
Andhra Pradesh,NTR,13.439487,77.144908,69,9.42,11.96,2369,4,Heatwave,Medium
Andhra Pradesh,NTR,13.436356,77.117068,28,42.27,47.22,1823,4,Low,Low
Andhra Pradesh,NTR,13.430151,77.134962,47,5.91,22.39,2245,4,Flood,Medium
Andhra Pradesh,NTR,13.421568,77.15273,79,8.51,21.26,2069,4,Flood,Medium
Andhra Pradesh,Palnadu,12.417537,81.882862,29,6.02,1.65,3278,4,Low,Low
Andhra Pradesh,Palnadu,12.404647,81.878506,73,14.32,6.27,1519,4,Flood,Low
Andhra Pradesh,Palnadu,12.40669,81.855067,88,10.61,0.47,3295,4,Cyclone,High
Andhra Pradesh,Palnadu,12.405295,81.853317,108,28.97,3.44,2019,4,Flood,Medium
Andhra Pradesh,Palnadu,12.40454,81.869369,7,0.5,35.66,2002,4,Heatwave,Medium
Andhra Pradesh,Palnadu,12.403883,81.864739,89,2.74,53.67,1577,4,Flood,Low
Andhra Pradesh,Palnadu,12.404943,81.877309,108,13.67,5.34,1540,4,Flood,Low
Andhra Pradesh,Palnadu,12.420482,81.868944,16,17.13,1.71,2611,4,Cyclone,High
Andhra Pradesh,Palnadu,12.406625,81.865563,17,8.21,49.26,2077,4,Cyclone,High
Andhra Pradesh,Palnadu,12.413933,81.86723,46,16.44,19.99,2515,4,Heatwave,Medium
Andhra Pradesh,Parvathipuram Manyam,12.888165,79.977981,63,33.55,1.95,3064,4,Flood,Medium
Andhra Pradesh,Parvathipuram Manyam,12.871658,79.973683,36,23.8,1.38,846,4,Flood,High
Andhra Pradesh,Parvathipuram Manyam,12.873161,79.975341,15,8.75,17.68,1953,4,Cyclone,High
Andhra Pradesh,Parvathipuram Manyam,12.889716,79.951186,31,24.6,46.06,1317,4,Flood,Medium
Andhra Pradesh,Parvathipuram Manyam,12.891733,79.980248,118,4.17,43.28,2561,4,Heatwave,Medium
Andhra Pradesh,Parvathipuram Manyam,12.889818,79.971271,29,15.41,1.9,2819,4,Flood,High
Andhra Pradesh,Parvathipuram Manyam,12.875662,79.969813,10,14.25,31.98,1715,4,Flood,Medium
Andhra Pradesh,Parvathipuram Manyam,12.880613,79.990504,73,32.41,13.42,2639,4,Cyclone,Medium
Andhra Pradesh,Parvathipuram Manyam,12.8835,79.952556,65,6.79,2.87,2850,4,Flood,Medium
Andhra Pradesh,Parvathipuram Manyam,12.88786,79.968728,24,10.45,24.77,3753,4,Cyclone,High
Andhra Pradesh,Prakasam,14.421957,78.936781,15,7.58,4.12,2769,4,Cyclone,High
Andhra Pradesh,Prakasam,14.441602,78.95493,45,23.53,8.12,3528,4,Heatwave,Medium
Andhra Pradesh,Prakasam,14.427074,78.93912,28,8.57,81.79,836,4,Cyclone,High
Andhra Pradesh,Prakasam,14.4247,78.940654,94,8.11,3.86,642,4,Low,Low
Andhra Pradesh,Prakasam,14.414515,78.932157,72,15.9,8.3,2504,4,Cyclone,High
Andhra Pradesh,Prakasam,14.445863,78.953656,35,6.19,3.14,2134,4,Flood,High
Andhra Pradesh,Prakasam,14.409609,78.941056,11,4.18,4.54,2453,4,Flood,High
Andhra Pradesh,Prakasam,14.419319,78.948347,37,14.43,3.5,760,4,Flood,High
Andhra Pradesh,Prakasam,14.4281,78.940926,10,14.5,23.34,2594,4,Flood,Medium
Andhra Pradesh,Prakasam,14.425022,78.943093,7,4.81,34.24,2258,4,Cyclone,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.260859,81.706407,50,31.65,8.89,1965,4,Heatwave,Medium
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.254547,81.717484,31,5.24,12.56,1972,4,Cyclone,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.264046,81.713125,18,7.31,23.19,2328,4,Flood,Medium
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.257247,81.701064,90,12.81,57.65,1497,4,Flood,Low
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.233326,81.726195,22,4.25,35.67,2656,4,Flood,Medium
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.268024,81.715419,66,3.65,19.01,1540,4,Cyclone,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.273413,81.701348,62,6.73,3.15,1621,4,Cyclone,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.255948,81.717127,45,60.31,21.79,2459,4,Heatwave,Medium
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.269126,81.702755,47,13.51,68.34,2035,4,Flood,Medium
Andhra Pradesh,Sri Potti Sriramulu Nellore,12.253027,81.700535,12,31.5,35.18,2823,4,Cyclone,Medium
Andhra Pradesh,Sri Sathya Sai,12.130339,77.187592,20,14.0,5.08,1974,4,Flood,Medium
Andhra Pradesh,Sri Sathya Sai,12.124017,77.214664,31,16.27,4.01,2252,4,Flood,High
Andhra Pradesh,Sri Sathya Sai,12.123795,77.196837,16,1.48,14.6,308,4,Flood,Medium
Andhra Pradesh,Sri Sathya Sai,12.137342,77.200363,26,9.03,33.34,1455,4,Flood,Medium
Andhra Pradesh,Sri Sathya Sai,12.120952,77.20256,44,11.56,36.71,2372,4,Flood,Medium
Andhra Pradesh,Sri Sathya Sai,12.12919,77.201805,48,0.27,19.85,1221,4,Flood,Medium
Andhra Pradesh,Sri Sathya Sai,12.110362,77.217622,38,10.79,11.91,2243,4,Cyclone,High
Andhra Pradesh,Sri Sathya Sai,12.127972,77.180886,56,8.25,26.24,1758,4,Flood,Low
Andhra Pradesh,Sri Sathya Sai,12.112678,77.181114,95,13.03,12.59,2335,4,Flood,Medium
Andhra Pradesh,Sri Sathya Sai,12.113448,77.206509,10,2.93,2.77,2383,4,Flood,High
Andhra Pradesh,Srikakulam,18.061615,77.07367,16,34.33,5.95,816,4,Flood,Medium
Andhra Pradesh,Srikakulam,18.055612,77.07562,22,2.05,18.19,1645,4,Cyclone,High
Andhra Pradesh,Srikakulam,18.027675,77.077519,63,12.05,34.43,3588,4,Cyclone,High
Andhra Pradesh,Srikakulam,18.044737,77.071771,19,1.77,39.61,3729,4,Cyclone,High
Andhra Pradesh,Srikakulam,18.047238,77.064111,14,20.67,7.67,1304,4,Flood,Medium
Andhra Pradesh,Srikakulam,18.052305,77.080922,65,1.71,14.05,1961,4,Flood,Low
Andhra Pradesh,Srikakulam,18.059124,77.083373,0,5.27,17.01,2804,4,Flood,Medium
Andhra Pradesh,Srikakulam,18.048447,77.073577,35,17.34,105.63,2183,4,Flood,Medium
Andhra Pradesh,Srikakulam,18.049139,77.077334,29,3.33,0.65,2076,4,Cyclone,High
Andhra Pradesh,Srikakulam,18.045787,77.063898,5,8.85,15.8,1240,4,Cyclone,High
Andhra Pradesh,Tirupati,15.203329,83.692642,19,0.28,2.76,1130,4,Flood,High
Andhra Pradesh,Tirupati,15.192648,83.684586,9,9.07,3.07,2693,4,Cyclone,High
Andhra Pradesh,Tirupati,15.192307,83.70753,3,12.95,36.0,3285,4,Heatwave,Medium
Andhra Pradesh,Tirupati,15.209081,83.690911,48,0.79,6.36,2964,4,Flood,Medium
Andhra Pradesh,Tirupati,15.199963,83.689962,18,11.53,80.69,1575,4,Cyclone,High
Andhra Pradesh,Tirupati,15.207594,83.702465,9,36.55,29.08,3216,4,Flood,Medium
Andhra Pradesh,Tirupati,15.21357,83.708178,41,19.22,5.72,2691,4,Heatwave,Medium
Andhra Pradesh,Tirupati,15.189791,83.693243,19,8.2,3.13,2088,4,Cyclone,High
Andhra Pradesh,Tirupati,15.20521,83.707222,27,16.81,18.76,2042,4,Flood,Medium
Andhra Pradesh,Tirupati,15.18951,83.698579,1,12.7,12.3,2447,4,Heatwave,Medium
Andhra Pradesh,Visakhapatnam,18.312968,81.941837,31,14.41,33.82,2542,4,Flood,Medium
Andhra Pradesh,Visakhapatnam,18.302346,81.943642,37,4.49,10.7,3378,4,Low,Low
Andhra Pradesh,Visakhapatnam,18.323506,81.942151,51,23.04,23.09,1680,4,Flood,Low
Andhra Pradesh,Visakhapatnam,18.303345,81.940999,6,2.39,40.06,2622,4,Flood,Medium
Andhra Pradesh,Visakhapatnam,18.316112,81.931481,11,19.07,24.77,1662,4,Flood,Medium
Andhra Pradesh,Visakhapatnam,18.294352,81.925453,73,4.39,46.99,2835,4,Flood,Medium
Andhra Pradesh,Visakhapatnam,18.312231,81.94598,26,9.15,7.24,1532,4,Heatwave,Medium
Andhra Pradesh,Visakhapatnam,18.314592,81.929969,18,4.34,5.56,3590,4,Cyclone,High
Andhra Pradesh,Visakhapatnam,18.299073,81.951047,34,4.54,77.64,1868,4,Cyclone,High
Andhra Pradesh,Visakhapatnam,18.3012,81.941699,45,3.25,54.75,1025,4,Flood,Medium
Andhra Pradesh,Vizianagaram,15.968527,84.816568,58,2.68,3.54,1891,4,Flood,Medium
Andhra Pradesh,Vizianagaram,15.980996,84.819484,61,5.11,5.01,2376,4,Flood,Medium
Andhra Pradesh,Vizianagaram,16.001101,84.824966,38,6.31,17.65,2348,4,Low,Low
Andhra Pradesh,Vizianagaram,15.979376,84.814523,5,18.49,39.49,2444,4,Cyclone,High
Andhra Pradesh,Vizianagaram,15.983518,84.81372,89,24.32,11.76,2469,4,Flood,Medium
Andhra Pradesh,Vizianagaram,15.948802,84.814245,63,19.55,19.16,1499,4,Cyclone,High
Andhra Pradesh,Vizianagaram,15.996172,84.833053,3,13.37,3.8,2356,4,Heatwave,Medium
Andhra Pradesh,Vizianagaram,15.987318,84.822157,2,7.73,16.35,2362,4,Cyclone,High
Andhra Pradesh,Vizianagaram,15.983424,84.818746,102,8.08,11.13,904,4,Cyclone,High
Andhra Pradesh,Vizianagaram,15.993615,84.844962,17,28.57,4.63,752,4,Cyclone,Medium
Andhra Pradesh,West Godavari,13.970444,84.966882,128,8.84,4.07,1566,4,Flood,Medium
Andhra Pradesh,West Godavari,13.973074,84.980003,41,9.53,35.87,1194,4,Cyclone,High
Andhra Pradesh,West Godavari,13.972175,84.958933,39,9.99,23.14,1142,4,Cyclone,High
Andhra Pradesh,West Godavari,13.965718,84.964584,3,8.16,17.75,2827,4,Flood,Medium
Andhra Pradesh,West Godavari,13.95999,84.959878,38,2.7,14.45,1548,4,Low,Low
Andhra Pradesh,West Godavari,13.973928,84.986148,81,8.87,21.43,2478,4,Flood,Medium
Andhra Pradesh,West Godavari,13.977816,84.980142,3,13.43,42.86,1168,4,Flood,Medium
Andhra Pradesh,West Godavari,13.971292,84.981168,2,4.25,0.1,2776,4,Flood,High
Andhra Pradesh,West Godavari,13.969676,84.985193,13,26.6,15.04,341,4,Flood,Medium
Andhra Pradesh,West Godavari,13.955488,84.976954,24,18.62,4.88,1399,4,Flood,High
Andhra Pradesh,YSR (Kadapa),12.695514,80.309852,69,12.08,5.23,1376,4,Heatwave,Medium
Andhra Pradesh,YSR (Kadapa),12.67838,80.315758,100,3.31,43.86,3333,4,Flood,Medium
Andhra Pradesh,YSR (Kadapa),12.685674,80.297823,21,42.27,7.88,3072,4,Flood,Medium
Andhra Pradesh,YSR (Kadapa),12.685482,80.313451,13,14.29,40.1,2996,4,Flood,Medium
Andhra Pradesh,YSR (Kadapa),12.688947,80.294938,68,17.97,5.75,3508,4,Low,Low
Andhra Pradesh,YSR (Kadapa),12.688988,80.301018,59,14.61,24.36,3061,4,Low,Low
Andhra Pradesh,YSR (Kadapa),12.676771,80.313654,48,27.04,20.16,2235,4,Cyclone,Medium
Andhra Pradesh,YSR (Kadapa),12.698026,80.307472,31,24.87,13.91,2121,4,Heatwave,Medium
Andhra Pradesh,YSR (Kadapa),12.688401,80.294407,18,33.6,8.75,4571,4,Flood,Medium
Andhra Pradesh,YSR (Kadapa),12.673865,80.313119,18,14.43,13.17,2678,4,Cyclone,High
Arunachal Pradesh,Anjaw,26.798748,96.923968,99,195.94,3.71,1358,4,Landslide,Medium
Arunachal Pradesh,Anjaw,26.803448,96.910311,499,275.23,52.27,708,4,Flood,Low
Arunachal Pradesh,Anjaw,26.793917,96.925595,112,1.43,3.29,938,4,Flood,Medium
Arunachal Pradesh,Anjaw,26.781709,96.920875,280,260.18,51.36,1636,4,Flood,Low
Arunachal Pradesh,Anjaw,26.816163,96.944059,475,184.61,9.74,1414,4,Landslide,Medium
Arunachal Pradesh,Anjaw,26.791764,96.931191,225,394.74,11.56,150,4,Landslide,Medium
Arunachal Pradesh,Anjaw,26.810999,96.905135,66,284.87,52.39,1384,4,Flood,Low
Arunachal Pradesh,Anjaw,26.803303,96.90135,247,433.03,4.14,1047,4,Flood,Medium
Arunachal Pradesh,Anjaw,26.817637,96.91289,593,46.36,2.6,471,4,Flood,Medium
Arunachal Pradesh,Anjaw,26.79841,96.926846,439,169.18,14.4,1334,4,Landslide,Medium
Arunachal Pradesh,Capital Complex Itanagar,29.083239,91.047866,270,210.11,46.9,1662,4,Landslide,Medium
Arunachal Pradesh,Capital Complex Itanagar,29.072706,91.041797,245,256.6,68.72,224,4,Flood,Low
